script	reference	read_source	mode	read_len_bp	n_total	n_too_short	n_cds	mean_uf	f_eq_1	f_ge_0.90	f_0.10_to_0.90	f_lt_0.10	f_eq_0	total_positions	total_unique	total_multi	total_unmapped	global_uf
v7_a	full genome	CDS reads	SE	100	92938	29	92909	0.8839	62500	79240	22401	8008	5900	189496232	169540674	19541587	413971	0.8947
v7_b	full genome	CDS reads	SE	75	92938	0	92938	0.8792	60643	78429	23915	8380	5857	191819324	170961411	20469623	388290	0.8913
v7_c	full genome	CDS reads	SE	150	92938	83	92855	0.8902	64941	80147	20442	7472	5952	184851746	166247089	18143547	461110	0.8994
v7_d	full genome	CDS reads	SE	200	92938	307	92631	0.8944	66441	80454	19083	7107	5951	180213271	162619650	17076229	517392	0.9024
v7_e	full genome	CDS reads	PE	100	92938	29	92909	0.8861	62446	79782	22480	7983	5854	189496232	169785253	19193474	517505	0.896
v7_f	full genome	CDS reads	PE	75	92938	0	92938	0.8817	60805	79160	23790	8343	5834	191819324	171243062	20068078	508184	0.8927
v7_g	full genome	CDS reads	PE	150	92938	83	92855	0.8917	65038	80442	20371	7446	5917	184851746	166404422	17903543	543781	0.9002
v7_h	full genome	CDS reads	PE	200	92938	307	92631	0.8953	66232	80666	19299	7100	5918	180213271	162715823	16893763	603685	0.9029
v7_i	CDS self	CDS reads	SE	100	92938	29	92909	0.1094	5958	6283	11840	75111	51902	189496232	10675619	158419005	20401608	0.0563
v7_j	CDS self	CDS reads	PE	100	92938	29	92909	0.1101	5970	6293	11993	74946	51622	189496232	10727691	158343089	20425452	0.0566
